valence,year,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo
0.7040000000000001,1945,0.389,0.7120000000000001,0.197,1.24e-6,1,0.0872,-18.689,1,0.934,75.73
0.206,1962,0.84,0.4370000000000001,0.0857,0.6409999999999999,0,0.0898,-18.129,1,0.0384,73.161
0.481,1955,0.99,0.629,0.111,0.301,0,0.0897,-11.118,0,0.0472,133.752
0.856,1991,0.00196,0.961,0.446,1.99e-6,6,0.358,-14.67,0,0.271,103.514
0.34700000000000003,2008,0.542,0.603,0.401,0.225,0,0.103,-10.155,0,0.0306,172.63299999999995
0.923,2014,0.0189,0.6659999999999999,0.78,1.01e-6,2,0.0635,-5.847,1,0.048,154.056
0.846,1939,0.968,0.7170000000000001,0.42,3.21e-4,5,0.324,-6.584,0,0.0705,129.9
0.232,2017,0.851,0.388,0.32299999999999995,2.03e-6,5,0.14300000000000002,-7.158,1,0.0348,118.885
0.888,1961,0.923,0.72,0.408,0.6970000000000001,5,0.268,-12.746,1,0.0438,118.833
0.0972,1965,0.99,0.246,0.0426,7.82e-4,5,0.155,-18.892,1,0.0494,88.277
0.183,1956,0.93,0.274,0.0971,0,9,0.0997,-15.807,1,0.0328,80.335
0.87,1996,0.157,0.735,0.831,0,1,0.122,-6.647,0,0.0464,98.142
0.06,1952,0.975,0.215,0.14300000000000002,0.665,10,0.127,-23.68,1,0.0543,174.546
0.454,1957,0.951,0.428,0.348,0.0583,5,0.111,-12.476,0,0.101,76.632
0.634,1975,0.242,0.7290000000000001,0.885,1.06e-4,10,0.915,-6.34,1,0.096,118.371
0.0444,1980,0.768,0.206,0.206,0.894,0,0.158,-16.24,1,0.0446,79.361
0.303,1979,0.127,0.526,0.337,0,5,0.136,-13.565,1,0.0291,84.103
0.0945,1958,0.964,0.226,0.128,1.14e-6,10,0.212,-14.806,1,0.0359,88.303
0.264,1991,0.0109,0.262,0.777,0.113,11,0.12,-8.671,1,0.0632,152.5
0.936,1955,0.98,0.7929999999999999,0.376,0.873,6,0.418,-14.925,1,0.0459,118.671
0.389,1986,0.8270000000000001,0.396,0.315,6.8e-6,11,0.979,-17.372,1,0.049,145.702
0.5539999999999999,2014,0.135,0.789,0.6779999999999999,0,1,0.0738,-8.045,1,0.303,145.961
0.753,2005,0.109,0.633,0.8859999999999999,0,1,0.0438,-3.892,1,0.0456,81.811
0.926,1926,0.996,0.42,0.5329999999999999,0.879,9,0.366,-14.138,1,0.0434,120.733
0.511,1994,0.0169,0.53,0.855,0.238,2,0.0628,-5.1160000000000005,1,0.0461,110.14
0.672,2007,0.168,0.898,0.588,0,9,0.349,-5.697,1,0.29600000000000004,93.927
